1,2.05
2,2.63
3,3.02
4,2.52
5,2.22
6,1.9
7,1.64
8,1.48
9,1.29
10,1.18
11,1.10
12,1.04
13,0.93
14,0.89
15,0.83
16,0.77
17,0.73
18,0.69
19,0.65
20,0.61
22,0.55
24,0.51
26,0.47
28,0.43
30,0.4
